Year,ANIMAL_TYPE,breed,cnt,share
2024,CAT,DOMESTIC SHORTHAIR,13895,0.7419
2023,CAT,DOMESTIC SHORTHAIR,13129,0.7398
2025,CAT,DOMESTIC SHORTHAIR,11295,0.7387
2023,DOG,LABRADOR RETRIEVER,4617,0.1027
2023,CAT,DOMESTIC MEDIUMHAIR,1767,0.0996
2024,DOG,LABRADOR RETRIEVER,4546,0.0984
2025,DOG,LABRADOR RETRIEVER,3606,0.0962
2024,CAT,DOMESTIC MEDIUMHAIR,1582,0.0845
2025,DOG,GOLDEN RETRIEVER,3016,0.0804
2023,DOG,GOLDEN RETRIEVER,3559,0.0792
2024,DOG,GOLDEN RETRIEVER,3608,0.0781
2025,CAT,DOMESTIC LONGHAIR,1095,0.0716
2025,CAT,DOMESTIC MEDIUMHAIR,1027,0.0672
2024,CAT,DOMESTIC LONGHAIR,1247,0.0666
2023,CAT,DOMESTIC LONGHAIR,1149,0.0647
2023,DOG,GERMAN SHEPHERD DOG,2208,0.0491
2024,DOG,GERMAN SHEPHERD DOG,2222,0.0481
2025,DOG,GERMAN SHEPHERD DOG,1726,0.046
2023,DOG,SHIHTZU,1961,0.0436
2024,DOG,SHIHTZU,1989,0.0431
2025,DOG,SHIHTZU,1508,0.0402
2023,DOG,POODLE MINIATURE,1799,0.04
2024,DOG,POODLE MINIATURE,1778,0.0385
2025,DOG,COCKER SPANIEL,1438,0.0383
2024,DOG,COCKER SPANIEL,1725,0.0373
2025,DOG,POODLE MINIATURE,1388,0.037
2023,DOG,COCKER SPANIEL,1638,0.0364
2025,DOG,CHIHUAHUA SHORTHAIR,1174,0.0313
2024,DOG,CHIHUAHUA SHORTHAIR,1425,0.0308
2023,DOG,CHIHUAHUA SHORTHAIR,1379,0.0307
2023,DOG,SIBERIAN HUSKY,1283,0.0285
2024,DOG,SIBERIAN HUSKY,1308,0.0283
2024,DOG,MALTESE,1272,0.0275
2025,DOG,SIBERIAN HUSKY,1016,0.0271
2025,DOG,AUSTRALIAN SHEPHERD,1013,0.027
2023,DOG,MALTESE,1212,0.027
2025,DOG,MALTESE,1010,0.0269
2024,DOG,AUSTRALIAN SHEPHERD,1208,0.0261
2023,DOG,YORKSHIRE TERRIER,1166,0.0259
2023,DOG,POODLE STANDARD,1134,0.0252
2023,DOG,AUSTRALIAN SHEPHERD,1116,0.0248
2024,DOG,YORKSHIRE TERRIER,1130,0.0245
2025,DOG,POODLE STANDARD,877,0.0234
2024,DOG,POODLE STANDARD,1074,0.0232
2025,DOG,UNKNOWN,839,0.0224
2025,DOG,YORKSHIRE TERRIER,838,0.0223
2024,DOG,BORDER COLLIE,964,0.0209
2023,DOG,BORDER COLLIE,933,0.0208
2024,DOG,AMERICAN BULLDOG,954,0.0206
