Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2023,CAT,L0K,2,DOMESTIC LONGHAIR,1,DOMESTIC SHORTHAIR,1,null,null
2023,CAT,L3P,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L3T,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L3X,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L3Y,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L4A,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L4B,1,DOMESTIC LONGHAIR,1,null,null,null,null
2023,CAT,L5A,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2023,CAT,L6X,1,PERSIAN,1,null,null,null,null
2023,CAT,M1B,209,DOMESTIC SHORTHAIR,152,DOMESTIC MEDIUMHAIR,24,DOMESTIC LONGHAIR,19
2023,CAT,M1C,188,DOMESTIC SHORTHAIR,151,DOMESTIC MEDIUMHAIR,17,DOMESTIC LONGHAIR,8
2023,CAT,M1E,363,DOMESTIC SHORTHAIR,277,DOMESTIC MEDIUMHAIR,39,DOMESTIC LONGHAIR,18
2023,CAT,M1G,137,DOMESTIC SHORTHAIR,88,DOMESTIC MEDIUMHAIR,14,DOMESTIC LONGHAIR,12
2023,CAT,M1H,82,DOMESTIC SHORTHAIR,55,DOMESTIC LONGHAIR,9,DOMESTIC MEDIUMHAIR,9
2023,CAT,M1J,161,DOMESTIC SHORTHAIR,121,DOMESTIC MEDIUMHAIR,15,DOMESTIC LONGHAIR,10
2023,CAT,M1K,260,DOMESTIC SHORTHAIR,206,DOMESTIC MEDIUMHAIR,23,DOMESTIC LONGHAIR,17
2023,CAT,M1L,201,DOMESTIC SHORTHAIR,151,DOMESTIC LONGHAIR,17,DOMESTIC MEDIUMHAIR,12
2023,CAT,M1M,175,DOMESTIC SHORTHAIR,126,DOMESTIC MEDIUMHAIR,20,DOMESTIC LONGHAIR,9
2023,CAT,M1N,220,DOMESTIC SHORTHAIR,152,DOMESTIC MEDIUMHAIR,27,DOMESTIC LONGHAIR,25
2023,CAT,M1P,199,DOMESTIC SHORTHAIR,150,DOMESTIC LONGHAIR,12,DOMESTIC MEDIUMHAIR,12
2023,CAT,M1R,135,DOMESTIC SHORTHAIR,89,DOMESTIC LONGHAIR,15,DOMESTIC MEDIUMHAIR,12
2023,CAT,M1S,150,DOMESTIC SHORTHAIR,109,DOMESTIC MEDIUMHAIR,14,DOMESTIC LONGHAIR,9
2023,CAT,M1T,153,DOMESTIC SHORTHAIR,113,DOMESTIC MEDIUMHAIR,14,DOMESTIC LONGHAIR,8
2023,CAT,M1V,148,DOMESTIC SHORTHAIR,110,DOMESTIC LONGHAIR,14,DOMESTIC MEDIUMHAIR,13
2023,CAT,M1W,161,DOMESTIC SHORTHAIR,117,DOMESTIC MEDIUMHAIR,17,DOMESTIC LONGHAIR,13
2023,CAT,M1X,18,DOMESTIC SHORTHAIR,16,DOMESTIC MEDIUMHAIR,1,SCOTTISH FOLD,1
2023,CAT,M2H,139,DOMESTIC SHORTHAIR,106,DOMESTIC MEDIUMHAIR,12,DOMESTIC LONGHAIR,7
2023,CAT,M2J,275,DOMESTIC SHORTHAIR,205,DOMESTIC MEDIUMHAIR,30,DOMESTIC LONGHAIR,9
2023,CAT,M2K,110,DOMESTIC SHORTHAIR,69,DOMESTIC LONGHAIR,8,DOMESTIC MEDIUMHAIR,8
2023,CAT,M2L,50,DOMESTIC SHORTHAIR,37,DOMESTIC MEDIUMHAIR,8,DOMESTIC LONGHAIR,4
2023,CAT,M2M,127,DOMESTIC SHORTHAIR,78,DOMESTIC MEDIUMHAIR,16,DOMESTIC LONGHAIR,10
2023,CAT,M2N,404,DOMESTIC SHORTHAIR,289,DOMESTIC MEDIUMHAIR,32,DOMESTIC LONGHAIR,31
