Year,ANIMAL_TYPE,total_count,popularity,Top_Breeds,Breed_Count,top_breed_pct
2023,CAT,17747,1,DOMESTIC SHORTHAIR,13129,73.98
2023,CAT,17747,2,DOMESTIC MEDIUMHAIR,1767,9.96
2023,CAT,17747,3,DOMESTIC LONGHAIR,1149,6.47
2023,CAT,17747,4,SIAMESE,297,1.67
2023,CAT,17747,5,RAGDOLL,176,0.99
2023,CAT,17747,6,MAINE COON,158,0.89
2023,CAT,17747,7,BENGAL,150,0.85
2023,CAT,17747,8,PERSIAN,134,0.76
2023,CAT,17747,9,BRITISH SHORTHAIR,129,0.73
2023,CAT,17747,10,RUSSIAN BLUE,111,0.63
2024,CAT,18729,1,DOMESTIC SHORTHAIR,13895,74.19
2024,CAT,18729,2,DOMESTIC MEDIUMHAIR,1582,8.45
2024,CAT,18729,3,DOMESTIC LONGHAIR,1247,6.66
2024,CAT,18729,4,SIAMESE,295,1.58
2024,CAT,18729,5,BENGAL,207,1.11
2024,CAT,18729,6,RAGDOLL,203,1.08
2024,CAT,18729,7,MAINE COON,170,0.91
2024,CAT,18729,8,BRITISH SHORTHAIR,151,0.81
2024,CAT,18729,9,PERSIAN,145,0.77
2024,CAT,18729,10,AMERICAN SHORTHAIR,139,0.74
2025,CAT,15290,1,DOMESTIC SHORTHAIR,11295,73.87
2025,CAT,15290,2,DOMESTIC LONGHAIR,1095,7.16
2025,CAT,15290,3,DOMESTIC MEDIUMHAIR,1027,6.72
2025,CAT,15290,4,SIAMESE,255,1.67
2025,CAT,15290,5,RAGDOLL,186,1.22
2025,CAT,15290,6,AMERICAN SHORTHAIR,183,1.20
2025,CAT,15290,7,BRITISH SHORTHAIR,174,1.14
2025,CAT,15290,8,MAINE COON,158,1.03
2025,CAT,15290,9,BENGAL,155,1.01
2025,CAT,15290,10,PERSIAN,116,0.76
2023,DOG,44954,1,LABRADOR RETRIEVER,4617,10.27
2023,DOG,44954,2,GOLDEN RETRIEVER,3559,7.92
2023,DOG,44954,3,GERMAN SHEPHERD DOG,2208,4.91
2023,DOG,44954,4,SHIHTZU,1961,4.36
2023,DOG,44954,5,POODLE MINIATURE,1799,4.00
2023,DOG,44954,6,COCKER SPANIEL,1638,3.64
2023,DOG,44954,7,CHIHUAHUA SHORTHAIR,1379,3.07
2023,DOG,44954,8,SIBERIAN HUSKY,1283,2.85
2023,DOG,44954,9,MALTESE,1212,2.70
2023,DOG,44954,10,YORKSHIRE TERRIER,1166,2.59
2024,DOG,46201,1,LABRADOR RETRIEVER,4546,9.84
2024,DOG,46201,2,GOLDEN RETRIEVER,3608,7.81
2024,DOG,46201,3,GERMAN SHEPHERD DOG,2222,4.81
2024,DOG,46201,4,SHIHTZU,1989,4.31
2024,DOG,46201,5,POODLE MINIATURE,1778,3.85
2024,DOG,46201,6,COCKER SPANIEL,1725,3.73
2024,DOG,46201,7,CHIHUAHUA SHORTHAIR,1425,3.08
2024,DOG,46201,8,SIBERIAN HUSKY,1308,2.83
2024,DOG,46201,9,MALTESE,1272,2.75
2024,DOG,46201,10,AUSTRALIAN SHEPHERD,1208,2.61
2025,DOG,37502,1,LABRADOR RETRIEVER,3606,9.62
2025,DOG,37502,2,GOLDEN RETRIEVER,3016,8.04
2025,DOG,37502,3,GERMAN SHEPHERD DOG,1726,4.60
2025,DOG,37502,4,SHIHTZU,1508,4.02
2025,DOG,37502,5,COCKER SPANIEL,1438,3.83
2025,DOG,37502,6,POODLE MINIATURE,1388,3.70
2025,DOG,37502,7,CHIHUAHUA SHORTHAIR,1174,3.13
2025,DOG,37502,8,SIBERIAN HUSKY,1016,2.71
2025,DOG,37502,9,AUSTRALIAN SHEPHERD,1013,2.70
2025,DOG,37502,10,MALTESE,1010,2.69
