Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2023,CAT,ABYSSINIAN,23,17747,0.0013,18,null,null,null,null,null,null
2024,CAT,ABYSSINIAN,28,18729,0.0015,18,23,5,0.2174,0.0013,0.0002,0.1538
2025,CAT,ABYSSINIAN,25,15290,0.0016,18,28,-3,-0.1071,0.0015,0.0001,0.0667
2023,CAT,AMERICAN CURL,6,17747,0.0003,30,null,null,null,null,null,null
2024,CAT,AMERICAN CURL,9,18729,0.0005,28,6,3,0.5,0.0003,0.0002,0.6667
2025,CAT,AMERICAN CURL,8,15290,0.0005,28,9,-1,-0.1111,0.0005,0,0
2023,CAT,AMERICAN SHORTHAIR,81,17747,0.0046,12,null,null,null,null,null,null
2024,CAT,AMERICAN SHORTHAIR,139,18729,0.0074,10,81,58,0.716,0.0046,0.0028,0.6087
2025,CAT,AMERICAN SHORTHAIR,183,15290,0.012,6,139,44,0.3165,0.0074,0.0046,0.6216
2023,CAT,AMERICAN WIREHAIR,1,17747,0.0001,41,null,null,null,null,null,null
2024,CAT,AMERICAN WIREHAIR,3,18729,0.0002,38,1,2,2,0.0001,0.0001,1
2025,CAT,AMERICAN WIREHAIR,4,15290,0.0003,35,3,1,0.3333,0.0002,0.0001,0.5
2023,CAT,BALINESE,7,17747,0.0004,29,null,null,null,null,null,null
2024,CAT,BALINESE,8,18729,0.0004,30,7,1,0.1429,0.0004,0,0
2025,CAT,BALINESE,9,15290,0.0006,25,8,1,0.125,0.0004,0.0002,0.5
2023,CAT,BENGAL,150,17747,0.0085,7,null,null,null,null,null,null
2024,CAT,BENGAL,207,18729,0.0111,5,150,57,0.38,0.0085,0.0026,0.3059
2025,CAT,BENGAL,155,15290,0.0101,9,207,-52,-0.2512,0.0111,-0.001,-0.0901
2023,CAT,BIRMAN,6,17747,0.0003,31,null,null,null,null,null,null
2024,CAT,BIRMAN,9,18729,0.0005,29,6,3,0.5,0.0003,0.0002,0.6667
2025,CAT,BIRMAN,7,15290,0.0005,30,9,-2,-0.2222,0.0005,0,0
2025,CAT,BLACK,1,15290,0.0001,44,null,null,null,null,null,null
2025,CAT,BLACK WHITE SHO,1,15290,0.0001,45,null,null,null,null,null,null
2023,CAT,BOMBAY,37,17747,0.0021,14,null,null,null,null,null,null
2024,CAT,BOMBAY,63,18729,0.0034,14,37,26,0.7027,0.0021,0.0013,0.619
2025,CAT,BOMBAY,57,15290,0.0037,14,63,-6,-0.0952,0.0034,0.0003,0.0882
2023,CAT,BRITISH SHORTHAIR,129,17747,0.0073,9,null,null,null,null,null,null
2024,CAT,BRITISH SHORTHAIR,151,18729,0.0081,8,129,22,0.1705,0.0073,0.0008,0.1096
2025,CAT,BRITISH SHORTHAIR,174,15290,0.0114,7,151,23,0.1523,0.0081,0.0033,0.4074
2023,CAT,BURMESE,37,17747,0.0021,15,null,null,null,null,null,null
2024,CAT,BURMESE,43,18729,0.0023,15,37,6,0.1622,0.0021,0.0002,0.0952
2025,CAT,BURMESE,27,15290,0.0018,16,43,-16,-0.3721,0.0023,-0.0005,-0.2174
2023,CAT,CHANTILLY TIFFANY,5,17747,0.0003,32,null,null,null,null,null,null
2024,CAT,CHANTILLY TIFFANY,4,18729,0.0002,34,5,-1,-0.2,0.0003,-0.0001,-0.3333
2025,CAT,CHANTILLY TIFFANY,3,15290,0.0002,37,4,-1,-0.25,0.0002,0,0
2023,CAT,CHARTREUX,2,17747,0.0001,35,null,null,null,null,null,null
2024,CAT,CHARTREUX,4,18729,0.0002,35,2,2,1,0.0001,0.0001,1
2025,CAT,CHARTREUX,3,15290,0.0002,38,4,-1,-0.25,0.0002,0,0
2025,CAT,CLASSIC SHORT H,1,15290,0.0001,46,null,null,null,null,null,null
2023,CAT,COLORPOINT,1,17747,0.0001,42,null,null,null,null,null,null
2023,CAT,CORNISH REX,8,17747,0.0005,25,null,null,null,null,null,null
